מטבח כשר,משופצת,"ממ""ד",מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,חדרים,קומה,"מ""ר",מחיר
0,1,1,1,1,1,1,1,1,1,1,1,12,חדש מקבלן,דירה,דירה,[],0,3,2,90,"1,390,000 ₪"
0,1,0,1,0,1,1,1,0,0,ללא,,7,משופץ,דירה, אשדוד,"["" רובע ו'""]",0,4,2,91,"1,320,000 ₪"
0,1,1,1,1,1,1,1,1,1,ללא,,6,משופץ,דירה, אשדוד,"["" רובע ב'""]",0,3.5,4,90,"1,280,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,,7,משופץ,דירה, אשדוד,"["" רובע ו'""]",1,4,5,96,"1,470,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,3,משופץ,דירה, אשדוד,"["" רובע ה'""]",0,3.5,1,68,"1,320,000 ₪"
,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],1,-,קרקע,100,"220,000 ₪"
0,1,0,0,1,0,0,0,1,0,1,1,9,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,5,4,140,"2,600,000 ₪"
0,1,1,1,0,0,1,0,1,0,1,1,7,משופץ,דירה, אשדוד,"["" רובע ב'""]",0,2.5,2,95,"1,320,000 ₪"
1,1,1,1,1,1,1,1,1,1,2,3,,חדש מקבלן,בית פרטי/קוטג', אשדוד,"[' רובע י""ז']",0,6,קרקע,309,"7,500,000 ₪"
1,0,0,1,0,1,1,1,1,0,3,1,8,במצב שמור,דירה, אשדוד,"["" רובע ה'""]",0,5,1,146,"1,920,000 ₪"
0,0,1,0,0,1,1,1,0,0,1,2,22,במצב שמור,דירה, אשדוד,[' מרינה'],1,4,15,154,לא צוין מחיר
1,1,1,1,1,1,1,1,1,1,ללא,,4,במצב שמור,דירה, אשדוד,"["" רובע ג'""]",0,3.5,3,76,"1,490,000 ₪"
0,1,0,0,0,0,0,0,0,0,ללא,,4,משופץ,דירה, אשדוד,"["" רובע א'""]",0,3.5,4,90,"1,240,000 ₪"
0,1,0,1,0,1,1,0,1,0,1,,2,משופץ,דירת גן, אשדוד,"[' רובע י""ג']",0,4,קרקע,170,"2,400,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,,8,במצב שמור,דירה, אשדוד,"["" רובע א'""]",1,4,2,93,"1,470,000 ₪"
0,0,1,0,0,0,1,0,0,0,1,1,2,במצב שמור,דירה, אשדוד,"["" רובע ט'""]",0,5,2,120,"2,300,000 ₪"
